epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,411.232,1.66326,1.62482,1.49346,0.55414,0.39802,0.41795,0.22095,1.86541,1.98855,1.78075,0.0048025,0.0048025,0.0048025
44,419.404,1.6333,1.64371,1.5142,0.55485,0.35927,0.40516,0.21754,1.87292,1.98631,1.7759,0.00467875,0.00467875,0.00467875
45,428.455,1.65389,1.66303,1.53527,0.58838,0.35753,0.41753,0.22303,1.87928,1.99424,1.78135,0.004555,0.004555,0.004555
46,438.508,1.65274,1.64549,1.52675,0.52372,0.39114,0.42741,0.21975,1.91528,2.01848,1.82264,0.00443125,0.00443125,0.00443125
47,446.14,1.61529,1.60162,1.46505,0.65196,0.34008,0.45415,0.21204,1.92744,2.00766,1.82459,0.0043075,0.0043075,0.0043075
48,455.996,1.62583,1.59311,1.51404,0.59683,0.36309,0.46545,0.2336,1.92308,2.0067,1.83359,0.00418375,0.00418375,0.00418375
49,463.27,1.60149,1.59244,1.49313,0.56467,0.36325,0.46248,0.23068,1.92339,2.02651,1.83669,0.00406,0.00406,0.00406
50,472.712,1.59092,1.59798,1.49325,0.44188,0.45607,0.43721,0.22359,1.90688,2.03932,1.81242,0.00393625,0.00393625,0.00393625
51,480.873,1.57891,1.55196,1.49191,0.48619,0.45983,0.45239,0.23157,1.88831,2.02809,1.80923,0.0038125,0.0038125,0.0038125
52,490.333,1.5465,1.51335,1.45745,0.42572,0.48738,0.45263,0.23148,1.88643,2.04142,1.81253,0.00368875,0.00368875,0.00368875
53,499.848,1.5367,1.49889,1.44079,0.59998,0.36431,0.44451,0.21922,1.91865,2.04184,1.83313,0.003565,0.003565,0.003565
54,507.634,1.56691,1.52169,1.45746,0.6033,0.38577,0.44733,0.22434,1.92569,2.04637,1.8397,0.00344125,0.00344125,0.00344125
55,517.286,1.5714,1.5389,1.46455,0.63855,0.38122,0.45672,0.23174,1.90049,2.01541,1.82217,0.0033175,0.0033175,0.0033175
56,525.626,1.58954,1.53086,1.47228,0.61847,0.3695,0.44207,0.22355,1.88957,2.01519,1.80132,0.00319375,0.00319375,0.00319375
57,534.449,1.577,1.49494,1.43947,0.59915,0.38667,0.44863,0.22267,1.91401,2.01618,1.80568,0.00307,0.00307,0.00307
58,543.379,1.54453,1.4863,1.45303,0.56244,0.40925,0.45352,0.22563,1.91576,2.02585,1.80336,0.00294625,0.00294625,0.00294625
59,551.453,1.53664,1.45023,1.44623,0.59284,0.35529,0.43639,0.22398,1.90863,2.06328,1.80951,0.0028225,0.0028225,0.0028225
60,561.031,1.55682,1.50952,1.47762,0.52611,0.4387,0.44559,0.22629,1.91346,2.08202,1.81494,0.00269875,0.00269875,0.00269875
61,568.114,1.49974,1.44104,1.42282,0.53336,0.45204,0.46535,0.23944,1.90982,2.02974,1.79233,0.002575,0.002575,0.002575
62,577.461,1.5264,1.47538,1.41913,0.575,0.43994,0.44654,0.23229,1.91342,2.03666,1.7883,0.00245125,0.00245125,0.00245125
63,585.439,1.519,1.43004,1.42534,0.59355,0.41771,0.45505,0.23598,1.91094,2.04557,1.79227,0.0023275,0.0023275,0.0023275
64,594.798,1.51146,1.41312,1.42754,0.55191,0.435,0.48197,0.23861,1.92078,2.03456,1.80002,0.00220375,0.00220375,0.00220375
65,602.46,1.5242,1.44975,1.40497,0.57019,0.39589,0.4837,0.23702,1.92293,2.0341,1.81787,0.00208,0.00208,0.00208
66,611.99,1.5153,1.44985,1.42435,0.56893,0.37207,0.47573,0.231,1.9115,2.04825,1.82696,0.00195625,0.00195625,0.00195625
67,622.16,1.51646,1.41226,1.39832,0.53401,0.39683,0.47207,0.23206,1.9279,2.0438,1.83292,0.0018325,0.0018325,0.0018325
68,630.192,1.47969,1.43113,1.41242,0.53959,0.36079,0.47554,0.23294,1.91339,2.01055,1.83014,0.00170875,0.00170875,0.00170875
69,640.452,1.48459,1.43835,1.39838,0.50741,0.40678,0.46538,0.22679,1.91794,2.00697,1.83307,0.001585,0.001585,0.001585
70,649.236,1.49085,1.44662,1.4096,0.5515,0.40202,0.47637,0.2262,1.93808,2.01247,1.85151,0.00146125,0.00146125,0.00146125
71,677.312,1.37394,1.43469,1.40066,0.62174,0.38706,0.49589,0.23325,1.94271,2.07612,1.85702,0.0013375,0.0013375,0.0013375
72,690.853,1.36361,1.32958,1.38752,0.61924,0.39198,0.49297,0.23116,1.93875,2.18469,1.86516,0.00121375,0.00121375,0.00121375
73,700.486,1.36879,1.32013,1.37671,0.5855,0.40087,0.48524,0.23404,1.92003,2.16476,1.84476,0.00109,0.00109,0.00109
74,708.658,1.37353,1.32308,1.36214,0.65318,0.37862,0.46058,0.22358,1.92588,2.09878,1.83563,0.00096625,0.00096625,0.00096625
75,718.262,1.33094,1.27425,1.33431,0.65486,0.38778,0.46784,0.22519,1.91954,2.05548,1.83492,0.0008425,0.0008425,0.0008425
76,727.623,1.32621,1.26396,1.33731,0.65764,0.38947,0.47071,0.21834,1.91246,2.04014,1.82932,0.00071875,0.00071875,0.00071875
77,736.769,1.3463,1.27935,1.36486,0.67447,0.3932,0.49574,0.23072,1.90784,2.03193,1.8315,0.000595,0.000595,0.000595
78,745.064,1.35407,1.3018,1.37108,0.67572,0.39062,0.49556,0.22586,1.89831,2.01271,1.82031,0.00047125,0.00047125,0.00047125
79,751.504,1.30324,1.21944,1.31628,0.67806,0.38579,0.50008,0.23372,1.89807,2.01525,1.81768,0.0003475,0.0003475,0.0003475
80,759.812,1.32401,1.24652,1.33876,0.66971,0.38409,0.49976,0.23313,1.89865,2.027,1.81513,0.00022375,0.00022375,0.00022375
